Epoch 28: Train MSE=0.001801, Val MSE=0.001727, Train PSNR=28.29 dB, Val PSNR=28.42 dB, Train SSIM=0.6404, Val SSIM=0.6414, Iter Train=163.0, Iter Val=152.0, Time Epoch=744.99 sec
Epoch 29: Train MSE=0.001764, Val MSE=0.001735, Train PSNR=28.40 dB, Val PSNR=28.40 dB, Train SSIM=0.6417, Val SSIM=0.6412, Iter Train=154.0, Iter Val=148.0, Time Epoch=868.19 sec
Epoch 30: Train MSE=0.001760, Val MSE=0.001718, Train PSNR=28.41 dB, Val PSNR=28.46 dB, Train SSIM=0.6420, Val SSIM=0.6417, Iter Train=185.0, Iter Val=151.0, Time Epoch=905.69 sec
Epoch 31: Train MSE=0.001756, Val MSE=0.001727, Train PSNR=28.40 dB, Val PSNR=28.43 dB, Train SSIM=0.6419, Val SSIM=0.6417, Iter Train=231.0, Iter Val=151.0, Time Epoch=884.35 sec
Epoch 32: Train MSE=0.001784, Val MSE=0.001723, Train PSNR=28.33 dB, Val PSNR=28.44 dB, Train SSIM=0.6414, Val SSIM=0.6419, Iter Train=138.0, Iter Val=150.0, Time Epoch=838.65 sec
Epoch 33: Train MSE=0.001736, Val MSE=0.001714, Train PSNR=28.46 dB, Val PSNR=28.47 dB, Train SSIM=0.6428, Val SSIM=0.6421, Iter Train=170.0, Iter Val=152.0, Time Epoch=952.12 sec
Epoch 34: Train MSE=0.001749, Val MSE=0.001728, Train PSNR=28.45 dB, Val PSNR=28.42 dB, Train SSIM=0.6427, Val SSIM=0.6420, Iter Train=230.0, Iter Val=150.0, Time Epoch=984.73 sec
Epoch 35: Train MSE=0.001758, Val MSE=0.001708, Train PSNR=28.42 dB, Val PSNR=28.49 dB, Train SSIM=0.6426, Val SSIM=0.6426, Iter Train=141.0, Iter Val=158.0, Time Epoch=909.36 sec
Epoch 36: Train MSE=0.001736, Val MSE=0.001717, Train PSNR=28.45 dB, Val PSNR=28.46 dB, Train SSIM=0.6430, Val SSIM=0.6425, Iter Train=204.0, Iter Val=153.0, Time Epoch=1046.62 sec
Epoch 37: Train MSE=0.001746, Val MSE=0.001732, Train PSNR=28.45 dB, Val PSNR=28.41 dB, Train SSIM=0.6433, Val SSIM=0.6421, Iter Train=201.0, Iter Val=153.0, Time Epoch=1088.26 sec
Epoch 38: Train MSE=0.001739, Val MSE=0.001722, Train PSNR=28.46 dB, Val PSNR=28.45 dB, Train SSIM=0.6434, Val SSIM=0.6424, Iter Train=149.0, Iter Val=156.0, Time Epoch=1052.31 sec
